Time (s),Qgen (W),Qsolar (W),Qalbedo (W),Qplanetshine (W),Qout/rad (W),Qstored (W)
430,19.89,53.12,23.48,13.58,65.63,44.44
440,15.04,52.87,17.91,16.86,67.18,35.51
450,18.78,55.46,20.73,13.29,76.34,31.93
460,18.56,50.38,15.32,11.0,91.37,3.89
470,16.58,55.3,23.73,21.29,94.23,22.67
480,14.85,57.69,27.6,18.5,65.2,53.44
490,10.64,54.6,27.26,17.91,98.66,11.75
500,13.88,55.03,17.11,18.58,92.58,12.03
510,11.41,67.23,17.03,24.23,92.85,27.06
520,13.01,68.35,28.39,23.22,65.1,67.88
530,17.04,50.99,25.11,13.45,99.16,7.43
540,16.51,61.65,29.67,17.04,60.19,64.68
550,10.67,66.19,20.92,23.4,64.81,56.37
560,11.48,59.55,29.95,17.75,99.92,18.8
570,19.0,55.27,24.03,21.96,77.37,42.89
580,11.28,62.76,21.8,23.63,99.2,20.27
590,15.64,63.88,20.55,10.99,97.54,13.52
600,16.29,60.22,23.16,22.26,70.22,51.7
610,12.61,54.6,23.41,10.97,81.0,20.59
620,17.46,56.35,29.78,24.95,84.13,44.42
630,14.26,68.67,27.08,21.77,88.87,42.9
640,14.68,65.49,23.09,16.83,65.75,54.35
650,11.72,66.13,22.96,23.31,60.54,63.58
660,14.81,62.85,18.6,13.03,88.32,20.97
670,14.82,58.74,26.49,10.16,96.36,13.84
680,18.27,64.12,23.53,21.97,62.26,65.64
690,14.14,55.35,29.98,15.02,73.43,41.05
700,19.87,51.71,27.65,18.43,84.85,32.81
710,10.55,66.5,26.39,23.08,62.85,63.67
720,16.43,64.68,23.2,23.15,62.69,64.77
730,15.49,55.78,28.11,21.76,66.67,54.46
740,14.26,57.6,25.49,23.38,69.8,50.93
750,11.68,55.27,22.14,22.44,63.21,48.31
760,12.91,57.28,21.22,11.5,61.6,41.32
770,17.44,61.53,27.19,10.54,73.0,43.7
780,12.95,53.29,18.36,22.11,75.88,30.83
790,13.83,62.19,29.24,24.97,71.26,58.96
800,19.24,66.97,15.2,10.07,91.1,20.37
810,11.29,51.62,15.11,17.03,85.65,9.4
820,14.12,56.68,19.04,20.82,94.39,16.28
830,17.37,51.43,29.72,20.23,68.97,49.78
840,19.01,53.05,23.48,17.41,92.27,20.68
850,11.18,65.95,29.29,14.64,89.75,31.32
860,17.18,54.17,15.78,11.81,64.16,34.78
870,14.07,59.18,22.33,12.07,64.95,42.7
880,10.48,51.51,29.94,19.93,76.24,35.61
890,11.37,61.46,17.96,11.51,95.52,6.78
900,15.54,61.72,29.27,23.54,68.37,61.7
910,13.88,50.19,28.54,16.82,94.32,15.11
920,14.58,63.26,18.34,11.08,67.31,39.96
930,19.48,50.52,26.44,14.69,64.98,46.15
940,14.4,66.27,21.68,10.45,80.56,32.25
950,17.24,53.45,25.77,17.66,60.0,54.12
960,15.18,65.52,18.79,18.77,76.63,41.64
970,15.9,59.11,17.67,18.99,73.05,38.62
980,10.48,57.03,18.19,12.8,89.51,8.98
990,11.53,62.04,16.18,17.51,74.06,33.19
1000,19.83,69.15,19.05,13.9,73.19,48.74
1010,14.59,56.03,20.84,20.98,82.91,29.53
1020,16.01,63.41,18.45,15.33,93.36,19.84
1030,11.64,56.91,21.59,15.4,65.43,40.11
1040,14.86,67.95,26.4,18.72,71.91,56.02
1050,17.91,63.7,27.39,14.09,97.65,25.43
1060,18.5,56.14,21.74,15.52,82.73,29.17
1070,11.72,52.42,27.13,15.16,95.25,11.18
1080,11.8,61.35,20.26,16.89,92.66,17.64
1090,12.64,68.43,15.5,23.63,85.6,34.6
1100,12.14,50.95,18.05,10.7,79.76,12.08
1110,11.2,51.48,15.58,18.53,68.01,28.77
1120,12.28,55.64,16.38,19.6,98.08,5.82
1130,18.95,59.69,25.93,17.55,73.08,49.03
1140,12.24,57.6,29.17,16.04,80.09,34.97
1150,11.31,54.57,25.42,16.69,94.91,13.07
1160,10.57,68.5,18.82,23.55,67.03,54.41
1170,16.55,61.11,16.5,13.03,61.37,45.81
1180,17.0,52.2,24.61,11.4,84.37,20.85
1190,18.26,55.64,15.05,13.47,78.12,24.3
1200,16.99,62.33,16.42,16.78,93.11,19.4
1210,10.66,62.11,23.86,16.45,66.58,46.51
1220,13.89,65.49,27.03,12.4,74.78,44.02
1230,12.85,55.74,17.24,14.4,79.88,20.34
1240,10.71,51.92,17.61,15.06,77.18,18.12
1250,17.34,52.21,26.86,14.43,97.74,13.1
1260,12.03,57.18,15.52,21.96,87.8,18.9
1270,16.18,60.27,17.75,17.02,83.67,27.55
1280,16.02,60.02,25.69,24.55,90.78,35.51
1290,16.6,51.3,29.05,11.17,86.26,21.86
1300,11.8,69.42,28.7,19.44,76.55,52.8
1310,15.34,56.08,18.68,11.57,61.58,40.09
1320,17.17,69.03,18.01,14.16,72.23,46.14
1330,11.57,65.86,25.76,19.03,65.26,56.97
1340,17.74,66.46,19.69,10.38,72.34,41.92
1350,11.4,53.57,19.68,20.41,84.2,20.85
1360,12.93,51.22,15.48,17.35,99.89,-2.92
1370,10.69,62.24,29.95,14.94,69.41,48.41
1380,19.73,59.38,15.12,23.71,76.11,41.83
1390,12.16,68.65,20.36,24.1,76.13,49.14
1400,18.26,67.71,23.31,15.17,88.29,36.15
1410,15.19,57.65,15.97,19.71,65.77,42.75
1420,11.76,62.37,21.99,17.53,97.47,16.19
1430,19.46,52.62,21.75,23.54,85.15,32.23
1440,13.75,65.08,19.63,20.22,78.49,40.19
1450,11.9,67.91,18.16,18.22,91.4,24.79
1460,18.38,63.65,21.77,23.2,85.32,41.68
1470,12.41,57.27,26.02,16.96,89.07,23.59
1480,17.54,61.51,28.85,20.88,76.58,52.2
1490,15.71,53.27,29.53,19.47,77.66,40.31
1500,19.65,61.57,24.83,23.48,86.28,43.24
1510,12.33,69.87,15.15,20.55,88.53,29.37
1520,12.92,54.56,29.35,12.22,61.55,47.5
1530,13.8,53.89,19.62,24.42,84.94,26.79
1540,15.02,63.98,25.53,19.57,78.5,45.6
1550,17.79,60.22,20.17,12.31,98.06,12.43
1560,16.2,62.97,15.95,25.0,77.72,42.4
1570,15.77,67.96,27.53,13.68,62.76,62.18
1580,14.32,58.22,26.5,18.34,98.0,19.38
1590,13.71,65.52,29.86,20.38,76.77,52.71
1600,16.18,66.59,27.6,21.08,78.56,52.89
1610,16.67,53.58,20.33,11.56,91.32,10.84
1620,16.45,59.52,25.71,14.83,95.49,21.02
1630,10.56,61.68,20.64,11.04,68.2,35.73
1640,14.19,56.03,22.54,17.79,87.1,23.45
1650,17.29,57.41,24.79,13.84,60.38,52.95
1660,11.44,55.0,26.95,18.79,75.5,36.67
1670,14.66,53.15,17.54,18.44,73.52,30.27
1680,18.69,65.76,18.09,24.4,82.8,44.14
1690,10.12,57.43,25.99,15.06,89.26,19.35
1700,15.83,58.08,15.93,17.74,86.22,21.36
1710,18.18,66.84,20.46,11.32,91.86,24.94
1720,11.17,60.63,28.14,22.89,74.4,48.43
1730,19.11,59.11,24.55,11.84,99.9,14.72
1740,13.75,57.2,16.39,15.31,94.3,8.35
1750,15.45,55.04,26.79,17.65,96.13,18.81
1760,14.6,62.46,18.13,11.12,86.95,19.36
1770,19.3,53.9,17.9,15.24,88.49,17.85
1780,15.03,57.06,25.76,16.6,69.65,44.79
1790,18.23,69.58,21.8,16.63,76.24,50.0
1800,18.14,50.78,18.95,15.05,86.85,16.08
1810,12.53,66.14,17.62,17.23,98.93,14.59
1820,19.15,59.56,21.16,24.8,88.51,36.16
1830,15.28,50.66,28.79,12.15,76.65,30.23
1840,12.78,50.69,16.98,14.28,82.09,12.63
1850,19.56,65.42,19.51,11.18,77.2,38.48
1860,18.93,54.92,26.25,10.55,84.77,25.88
1870,16.64,53.28,21.84,13.01,63.79,40.97
1880,11.15,61.92,21.95,14.78,95.43,14.36
1890,18.39,53.74,15.7,23.5,78.72,32.6
1900,14.54,55.47,29.4,22.13,91.29,30.25
1910,11.25,54.84,23.09,11.98,97.8,3.36
1920,18.82,54.88,24.15,18.54,70.36,46.03
1930,13.13,66.17,21.76,17.43,97.82,20.67
1940,18.41,51.82,26.06,24.67,85.7,35.27
1950,16.45,68.79,19.42,17.53,64.94,57.25
1960,13.92,61.22,22.24,24.21,75.07,46.52
1970,19.56,51.92,20.06,15.6,78.77,28.36
1980,19.85,53.82,22.03,22.45,62.85,55.29
1990,13.28,54.87,16.08,20.55,82.36,22.42
2000,17.47,53.31,25.17,24.42,78.01,42.36
2010,15.9,54.96,17.68,19.02,67.12,40.44
2020,16.85,55.16,26.82,13.47,92.03,20.27
2030,16.87,60.68,29.17,13.97,90.9,29.79
2040,16.93,52.9,22.32,18.8,73.1,37.85
2050,10.13,55.09,25.43,21.84,97.1,15.39
2060,16.19,53.91,22.36,15.14,65.87,41.73
2070,12.76,66.34,15.34,24.99,82.75,36.68
2080,11.26,68.35,16.55,24.32,64.71,55.77
2090,12.0,59.9,17.63,24.88,77.69,36.72
2100,13.86,52.82,27.44,17.37,77.83,33.66
2110,16.95,61.31,21.26,21.1,67.12,53.51
2120,10.86,68.08,19.1,18.27,75.78,40.53
2130,19.6,50.49,20.82,18.24,82.75,26.4
2140,14.48,68.45,26.71,17.8,66.62,60.81
2150,14.56,55.02,28.82,16.29,74.27,40.42
2160,17.51,66.4,26.65,16.14,76.04,50.67
2170,17.73,58.29,18.4,23.59,89.66,28.35
2180,19.37,52.96,18.09,21.51,84.88,27.05
2190,18.88,51.69,28.28,19.07,86.97,30.95
2200,18.25,58.22,23.61,11.88,61.25,50.73
2210,14.52,64.78,26.75,21.58,86.65,40.98
2220,17.85,52.36,20.16,13.7,75.69,28.38
2230,17.37,62.11,23.0,19.7,60.83,61.34
2240,15.54,65.61,17.59,14.9,81.87,31.78
2250,16.01,50.12,28.71,18.2,75.93,37.11
2260,12.92,64.46,27.45,22.44,99.68,27.58
2270,16.05,51.36,18.67,18.51,93.47,11.13
2280,17.77,66.03,19.51,17.53,82.52,38.33
2290,15.6,62.35,16.62,17.41,94.65,17.32
2300,17.88,51.6,19.24,13.13,89.25,12.59
2310,13.38,66.37,17.4,23.18,93.67,26.66
2320,14.49,54.62,15.05,23.73,73.34,34.55
2330,15.32,68.22,18.07,23.69,76.22,49.09
2340,10.99,61.68,20.56,10.9,99.52,4.61
2350,13.76,62.25,19.8,12.84,85.56,23.08
2360,13.13,61.04,18.56,16.84,81.3,28.26
2370,14.26,51.55,26.53,12.38,77.95,26.78
2380,15.69,65.3,16.23,18.05,60.5,54.77
2390,17.78,50.37,24.01,19.89,81.3,30.75
2400,18.77,66.74,15.36,16.19,72.88,44.18
2410,14.87,51.06,23.43,12.26,67.09,34.53
2420,13.94,62.73,15.81,12.23,83.42,21.28
2430,11.67,67.6,27.54,15.35,78.99,43.16
2440,11.6,69.19,22.24,21.71,81.48,43.26
2450,16.47,57.24,20.92,12.26,62.81,44.07
2460,12.65,50.82,18.96,22.64,77.41,27.66
2470,10.65,56.73,25.22,22.99,79.24,36.35
2480,16.12,68.38,28.84,21.17,92.26,42.25
2490,19.54,69.76,18.7,14.99,63.93,59.06
2500,13.6,53.43,15.24,15.62,88.84,9.05
2510,10.32,52.48,20.99,20.91,91.92,12.78
2520,18.76,69.67,26.01,14.35,72.72,56.06
2530,15.04,59.37,22.38,23.04,87.36,32.47
2540,14.46,64.23,16.67,21.59,67.29,49.67
2550,12.61,50.34,21.55,22.31,85.55,21.27
2560,10.85,59.67,23.65,17.65,79.17,32.64
2570,16.7,52.52,21.17,11.41,97.1,4.69
2580,13.97,57.12,28.57,16.96,80.18,36.45
2590,14.98,69.99,21.55,22.32,79.84,49.01
2600,15.95,61.32,27.51,18.56,81.3,42.03
2610,10.17,62.14,25.1,23.97,88.01,33.37
2620,13.32,61.8,16.68,12.48,68.71,35.57
2630,16.16,58.98,24.06,11.8,81.58,29.42
2640,17.77,52.29,16.41,14.76,95.55,5.67
2650,12.91,52.13,20.1,11.34,77.0,19.48
2660,19.88,50.39,15.9,16.98,67.33,35.82
2670,10.28,68.38,23.0,17.52,63.18,55.99
2680,19.68,64.43,15.91,17.47,72.1,45.39
2690,14.01,59.14,24.01,19.05,85.67,30.55
2700,19.76,66.63,26.45,24.47,75.49,61.82
2710,16.59,63.72,22.33,19.17,91.81,30.01
2720,14.0,53.1,16.12,17.01,93.57,6.66
2730,19.3,68.28,28.82,10.82,89.05,38.16
2740,13.77,66.12,21.17,18.81,72.83,47.03
2750,14.14,53.3,16.66,17.24,82.24,19.09
2760,10.68,65.24,19.64,14.25,75.94,33.87
2770,15.03,57.56,27.68,21.03,71.05,50.26
2780,19.74,59.73,27.2,17.65,88.16,36.15
2790,17.97,54.01,18.5,11.4,75.71,26.17
2800,13.12,53.41,27.68,17.14,89.2,22.16
2810,17.08,62.22,26.0,23.29,89.81,38.78
2820,14.43,55.89,20.01,17.94,97.05,11.21
2830,15.41,50.55,23.35,13.12,93.93,8.5
2840,10.34,61.64,28.84,23.1,83.62,40.31
2850,19.47,64.75,15.35,20.64,93.44,26.78
2860,15.03,51.12,17.0,11.93,73.79,21.29
2870,19.14,58.97,20.91,16.61,70.47,45.16
2880,10.06,56.38,22.43,16.39,81.68,23.58
2890,16.5,66.95,29.35,23.23,92.32,43.7
2900,15.3,56.26,25.92,20.9,71.58,46.8
2910,15.7,60.64,25.55,24.36,84.56,41.7
2920,12.9,52.94,18.69,20.28,66.12,38.69
2930,19.6,67.57,25.3,10.95,72.91,50.52
2940,14.08,54.99,18.21,10.43,65.85,31.86
2950,16.85,64.15,22.38,21.49,74.8,50.07
2960,14.83,57.05,19.96,24.49,87.37,28.96
2970,13.03,68.34,29.46,22.3,87.77,45.35
2980,12.26,61.21,20.37,24.56,62.57,55.84
2990,10.54,68.42,15.29,13.48,72.23,35.49
3000,19.9,61.34,17.4,12.0,81.78,28.86
3010,16.82,52.23,25.39,16.85,86.16,25.13
3020,10.32,64.06,26.62,16.59,92.28,25.3
3030,17.19,53.17,20.29,13.71,88.34,16.02
3040,15.4,66.11,24.36,17.58,86.82,36.62
3050,11.84,57.28,21.35,17.79,83.53,24.73
3060,10.6,50.48,24.49,17.62,84.93,18.25
3070,17.06,66.61,19.22,21.48,64.05,60.32
3080,13.25,56.6,21.67,12.31,89.3,14.54
3090,11.06,58.35,28.49,14.37,84.16,28.12
3100,15.9,64.55,24.47,18.68,96.67,26.92
3110,10.36,67.52,20.86,11.94,81.43,29.25
3120,16.55,58.91,23.89,16.48,67.3,48.52
3130,12.53,52.99,15.63,10.51,65.31,26.34
3140,13.57,62.66,24.42,17.41,72.32,45.75
3150,14.77,63.89,29.75,21.43,90.76,39.08
3160,18.27,56.34,27.94,15.81,90.69,27.67
3170,17.06,52.87,18.91,18.89,93.78,13.96
3180,15.28,51.78,28.13,16.66,95.71,16.13
3190,13.02,53.45,23.96,14.65,70.03,35.05
3200,15.01,62.06,20.73,24.6,84.63,37.77
3210,12.77,65.01,23.14,23.72,64.01,60.63
3220,14.36,58.75,18.93,21.74,61.59,52.18
3230,19.37,61.83,18.34,21.34,85.25,35.64
3240,17.51,60.24,20.45,14.46,76.96,35.7
3250,15.17,51.13,16.16,23.38,92.72,13.11
3260,19.18,53.93,15.68,14.77,86.37,17.19
3270,12.46,66.69,21.28,17.52,76.27,41.68
3280,12.03,61.59,17.1,10.26,87.98,13.0
3290,18.98,56.62,27.63,19.88,86.35,36.76
3300,13.33,65.74,26.25,15.74,81.29,39.76
3310,19.77,64.36,24.79,10.29,90.8,28.4
3320,16.63,57.24,27.3,19.04,78.77,41.43
3330,13.95,55.52,16.07,16.64,69.65,32.52
3340,18.04,67.21,22.97,18.99,69.08,58.13
3350,13.98,61.41,20.25,23.62,62.83,56.44
3360,19.89,50.66,25.88,24.26,89.24,31.45
3370,15.07,59.02,27.73,24.3,66.98,59.14
3380,16.22,53.7,28.4,14.32,78.84,33.81
3390,14.98,64.79,22.23,17.69,73.89,45.81
3400,17.43,53.66,25.91,15.42,67.63,44.77
3410,19.42,55.12,23.28,11.04,73.94,34.93
3420,16.4,53.39,23.37,15.51,62.06,46.61
3430,19.59,69.23,18.59,14.94,76.3,46.06
3440,10.96,56.12,22.43,11.06,62.41,38.16
3450,13.81,50.59,29.91,21.78,69.44,46.65
3460,15.25,55.83,28.95,22.27,61.27,61.04
3470,18.49,53.89,16.29,24.63,92.58,20.73
3480,10.87,57.98,29.91,22.05,99.95,20.87
3490,16.13,61.2,25.1,11.98,62.95,51.47
3500,11.61,59.08,26.79,18.0,86.03,29.45
3510,17.77,59.41,27.8,19.94,88.7,36.23
3520,14.86,52.53,23.24,19.76,78.26,32.13
3530,14.24,65.39,16.5,16.43,77.06,35.5
3540,14.13,69.57,22.58,23.95,91.67,38.57
3550,10.08,52.44,24.78,20.23,85.74,21.8
3560,13.35,67.91,25.63,18.95,86.28,39.56
3570,12.86,55.45,16.81,21.38,97.11,9.38
3580,19.68,59.14,16.13,23.11,87.29,30.76
3590,17.4,62.78,24.27,14.07,95.13,23.39
3600,18.49,67.95,15.03,10.68,77.47,34.68
3610,18.39,53.51,27.68,14.38,62.75,51.21
3620,10.26,67.65,16.19,11.14,69.21,36.02
3630,13.81,60.11,29.19,11.15,87.31,26.95
3640,15.82,69.39,16.99,22.45,92.36,32.3
3650,14.9,59.57,27.19,13.49,78.51,36.63
3660,12.42,59.3,23.21,23.48,86.18,32.23
3670,12.89,62.95,17.3,11.05,91.62,12.58
3680,10.13,63.11,17.23,12.03,78.41,24.09
3690,18.12,50.78,22.01,16.55,77.05,30.41
3700,16.16,62.28,17.93,18.34,82.9,31.82
3710,16.44,63.52,17.37,13.82,91.09,20.07
3720,12.05,50.72,17.41,13.01,86.31,6.89
3730,16.56,53.78,22.1,22.18,85.51,29.1
3740,16.94,54.59,20.35,22.06,85.7,28.24
3750,12.89,59.28,21.1,15.38,95.06,13.59
3760,17.95,63.79,18.43,16.75,80.79,36.12
3770,12.28,69.54,23.06,10.37,86.85,28.41
3780,14.53,69.1,27.02,11.05,86.15,35.54
3790,15.84,55.84,21.29,18.27,98.57,12.67
3800,11.77,57.48,20.23,15.93,89.51,15.9
3810,10.05,69.71,25.4,23.79,85.75,43.2
3820,16.51,60.12,19.47,21.56,77.68,39.99
3830,11.88,55.34,26.59,13.0,62.18,44.63
3840,17.79,51.68,28.02,24.01,82.51,39.0
3850,14.25,59.25,24.82,13.44,96.35,15.42
3860,11.97,69.58,18.91,21.67,96.29,25.83
3870,11.71,65.26,21.62,23.59,79.67,42.51
3880,19.02,68.1,26.05,11.51,97.83,26.84
3890,15.7,61.99,28.83,15.59,94.27,27.85
3900,19.0,62.16,25.73,15.07,63.33,58.64
3910,10.27,52.79,23.2,19.83,94.26,11.83
3920,11.94,68.28,27.4,16.5,74.47,49.64
3930,18.17,68.69,27.37,21.91,98.93,37.21
3940,18.16,66.49,26.37,18.33,87.42,41.94
3950,12.7,66.57,24.82,15.69,82.92,36.85
3960,15.37,57.66,19.15,24.36,65.3,51.24
3970,14.77,66.99,27.6,13.15,88.82,33.68
3980,18.21,59.58,16.28,14.3,70.41,37.96
3990,15.66,67.37,23.05,20.94,70.96,56.06
4000,10.11,63.81,16.44,13.83,98.16,6.03
4010,19.62,55.89,29.74,10.87,73.88,42.24
4020,10.89,64.01,27.49,11.66,90.71,23.35
4030,16.23,64.47,16.14,23.15,86.95,33.04
4040,17.8,53.93,24.67,23.56,95.83,24.13
4050,10.21,66.85,29.02,10.23,95.38,20.93
4060,14.33,67.69,29.74,24.59,78.39,57.96
4070,15.66,56.98,15.38,14.76,70.87,31.91
4080,15.77,68.78,24.55,10.79,74.66,45.22
4090,10.04,52.18,23.91,12.43,81.03,17.53
4100,16.41,59.46,26.63,16.59,95.82,23.26
4110,12.4,52.31,22.58,16.92,62.19,42.03
4120,19.63,53.33,24.74,15.36,78.08,34.97
4130,16.22,52.93,20.53,14.95,86.32,18.3
4140,18.75,66.39,28.47,14.05,89.07,38.58
4150,19.79,54.07,29.36,10.1,94.66,18.66
4160,17.54,64.48,19.11,18.89,62.85,57.17
4170,19.94,60.73,22.44,16.59,66.49,53.22
4180,18.66,67.05,26.8,19.9,79.22,53.2
4190,16.75,60.52,15.75,22.79,98.68,17.13
4200,11.3,50.91,27.64,14.19,70.54,33.51
4210,19.55,64.57,28.35,16.47,94.54,34.42
4220,15.75,56.5,20.77,13.15,73.28,32.89
4230,10.27,55.95,21.77,11.96,69.41,30.54
4240,13.56,65.86,21.6,14.34,87.26,28.09
4250,13.75,63.86,19.64,20.38,92.9,24.72
4260,16.37,69.39,29.65,20.48,86.26,49.64
4270,10.76,53.11,25.63,20.51,65.53,44.48
4280,11.83,56.55,18.45,11.2,73.05,24.97
4290,10.13,66.5,20.34,15.72,63.8,48.89
4300,10.55,58.88,26.88,14.05,60.83,49.52
4310,17.04,63.73,25.67,16.72,96.72,26.44
4320,14.89,68.26,19.53,22.9,98.99,26.59
4330,19.44,51.73,20.7,14.8,80.54,26.14
4340,14.11,59.92,16.95,10.36,82.46,18.89
4350,16.2,50.43,27.66,24.16,63.97,54.46
4360,16.52,64.33,15.31,24.86,85.9,35.11
4370,14.59,50.02,16.45,10.38,64.92,26.53
4380,19.73,63.49,27.85,12.99,64.15,59.92
4390,14.97,69.13,26.35,20.51,69.85,61.11
4400,13.69,58.2,19.69,21.96,79.93,33.62
4410,16.88,60.86,20.72,19.29,79.12,38.64
4420,17.97,60.82,18.51,17.68,80.15,34.82
4430,17.61,59.53,17.04,12.76,69.14,37.81
4440,10.37,55.32,15.78,21.63,94.89,8.2
4450,17.91,67.63,17.48,14.67,75.18,42.5
4460,14.56,60.04,28.3,19.4,79.25,43.05
4470,15.46,68.37,16.03,13.07,70.17,42.76
4480,18.78,65.48,16.99,12.49,79.23,34.52
4490,18.69,56.52,27.6,19.31,79.67,42.45
4500,10.38,67.81,16.73,20.38,92.27,23.03
4510,15.23,60.63,18.32,21.75,77.98,37.95
4520,15.09,69.17,26.13,10.91,74.43,46.87
4530,14.46,56.5,23.1,12.8,61.64,45.23
4540,10.52,66.99,21.78,14.95,87.41,26.84
4550,18.34,65.35,22.37,13.38,87.29,32.15
4560,16.65,58.2,20.76,15.29,77.87,33.04
4570,18.06,67.89,24.23,14.34,95.16,29.36
4580,16.46,56.18,24.42,18.17,66.79,48.43
4590,13.69,53.23,27.42,18.61,66.28,46.67
4600,16.95,67.86,15.35,23.4,83.79,39.77
4610,16.72,53.55,17.08,15.81,94.81,8.36
4620,13.17,54.07,28.38,22.6,72.59,45.64
4630,10.14,69.65,24.27,11.19,85.24,30.02
4640,13.49,63.27,29.59,10.81,79.46,37.7
4650,13.25,50.08,18.31,11.48,67.68,25.44
4660,10.28,53.38,24.26,16.25,64.81,39.36
4670,12.26,64.86,26.3,14.74,96.03,22.12
4680,19.93,69.94,26.77,19.21,77.14,58.71
4690,10.54,61.07,29.77,19.36,77.19,43.55
4700,16.33,62.66,26.86,19.9,93.95,31.8
4710,15.96,67.31,29.0,12.44,68.06,56.64
4720,16.12,65.51,15.33,16.91,94.31,19.56
4730,10.43,65.88,23.66,19.46,90.51,28.91
4740,12.59,57.14,26.34,16.97,98.46,14.56
4750,16.2,60.46,23.99,10.32,79.04,31.93
4760,11.12,66.96,26.63,20.82,92.41,33.13
4770,19.88,60.26,23.62,21.36,97.75,27.37
4780,11.66,68.28,21.1,16.02,82.7,34.35
4790,17.4,58.62,23.45,23.37,72.11,50.73
4800,11.15,62.34,23.41,18.46,95.88,19.47
4810,19.2,50.52,21.29,14.41,68.84,36.58
4820,11.1,69.14,29.49,19.04,96.68,32.08
4830,14.07,52.8,28.78,19.65,93.38,21.91
4840,18.86,56.68,29.6,10.15,96.98,18.32
4850,18.37,56.54,29.06,20.44,91.31,33.11
4860,17.19,67.73,18.54,22.77,73.9,52.34
4870,10.06,66.78,19.29,13.53,87.41,22.23
4880,18.75,59.96,29.6,18.84,65.46,61.7
4890,12.68,54.56,26.37,21.81,69.91,45.51
4900,16.06,61.6,20.99,11.75,76.2,34.2
4910,15.41,53.15,28.52,12.95,95.17,14.85
4920,10.11,64.15,23.47,16.05,74.52,39.27
4930,12.55,67.53,17.93,10.56,96.78,11.79
4940,17.17,59.25,21.31,16.09,94.21,19.61
4950,12.52,60.27,24.56,19.67,62.67,54.35
4960,10.84,52.57,18.97,13.56,88.21,7.73
4970,19.65,69.98,26.5,24.97,99.36,41.74
4980,14.96,60.11,17.27,13.86,72.05,34.16
4990,10.72,50.34,24.72,18.22,61.66,42.33
5000,17.85,59.71,28.75,23.52,76.82,53.02
5010,12.12,51.24,23.84,11.08,82.06,16.22
5020,17.27,67.19,23.05,18.05,74.22,51.35
5030,10.02,58.44,19.14,16.41,87.25,16.77
5040,12.74,60.05,19.01,22.85,94.31,20.34
5050,11.55,52.53,19.25,12.41,91.57,4.18
5060,11.6,63.2,19.12,20.34,85.86,28.4
5070,13.71,67.47,29.53,22.47,96.66,36.53
5080,11.67,52.9,17.88,19.05,93.46,8.04
5090,18.36,53.68,18.84,13.05,96.42,7.5
5100,14.22,52.95,19.13,19.09,67.49,37.9
5110,17.9,54.42,25.23,14.66,90.2,22.01
5120,12.37,51.14,19.63,17.96,69.77,31.33
5130,16.18,64.96,22.6,14.83,92.92,25.65
5140,15.94,58.97,17.49,20.57,84.59,28.39
5150,17.14,50.58,15.43,10.5,75.45,18.2
5160,10.69,50.79,28.45,20.49,83.78,26.65
5170,12.8,53.03,17.73,18.84,97.47,4.93
